id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,last_updated
bitcoin,BTC,Bitcoin,1,101571.0,2028122304910,63697874976,2025-11-12T23:46:01.120Z
ethereum,ETH,Ethereum,2,3404.92,411374347553,31153833906,2025-11-12T23:46:00.728Z
tether,USDT,Tether,3,0.999892,184038279821,99244075382,2025-11-12T23:46:00.203Z
ripple,XRP,XRP,4,2.38,143242783701,4401754300,2025-11-12T23:46:00.172Z
binancecoin,BNB,BNB,5,952.18,131323807686,1559294941,2025-11-12T23:46:00.717Z
solana,SOL,Solana,6,153.19,84865853635,5942199179,2025-11-12T23:46:00.097Z
usd-coin,USDC,USDC,7,0.999707,76052374869,8223669917,2025-11-12T23:46:00.469Z
staked-ether,STETH,Lido Staked Ether,8,3404.37,29391268628,74845685,2025-11-12T23:45:59.682Z
tron,TRX,TRON,9,0.294587,27894016314,708518234,2025-11-12T23:46:00.085Z
dogecoin,DOGE,Dogecoin,10,0.169866,25815638657,1720296122,2025-11-12T23:46:00.035Z
cardano,ADA,Cardano,11,0.545736,19984906533,963571092,2025-11-12T23:46:00.187Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.017,13798738138,6094146,2025-11-12T23:45:59.601Z
wrapped-steth,WSTETH,Wrapped stETH,13,4152.83,13610026735,23281959,2025-11-12T23:45:59.730Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,14,101381.0,12857156001,297325986,2025-11-12T23:46:00.040Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,15,3685.0,12034998046,3248596,2025-11-12T23:45:59.655Z
whitebit,WBT,WhiteBIT Coin,16,54.3,11665862617,100552035,2025-11-12T23:45:59.619Z
chainlink,LINK,Chainlink,17,15.13,10552138209,812860105,2025-11-12T23:46:00.239Z
hyperliquid,HYPE,Hyperliquid,18,38.29,10371818612,444017819,2025-11-12T23:45:59.678Z
bitcoin-cash,BCH,Bitcoin Cash,19,506.56,10114749284,289497734,2025-11-12T23:45:59.819Z
usds,USDS,USDS,20,0.998935,9235593801,42488461,2025-11-12T23:45:59.659Z
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),21,0.999427,8979798448,1699470124,2025-11-12T23:46:00.385Z
stellar,XLM,Stellar,22,0.277299,8914134660,185702219,2025-11-12T23:46:00.004Z
wrapped-eeth,WEETH,Wrapped eETH,23,3680.51,8900036834,11826959,2025-11-12T23:45:59.741Z
leo-token,LEO,LEO Token,24,9.14,8426644884,843644,2025-11-12T23:45:59.661Z
zcash,ZEC,Zcash,25,509.67,8359692393,2175517686,2025-11-12T23:46:00.599Z
weth,WETH,WETH,26,3406.45,8305294967,179589669,2025-11-12T23:46:01.144Z
ethena-usde,USDE,Ethena USDe,27,0.998796,8295166709,318933324,2025-11-12T23:45:59.795Z
litecoin,LTC,Litecoin,28,97.62,7476323225,1039463866,2025-11-12T23:46:00.960Z
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,29,101668.0,7442044051,488491926,2025-11-12T23:45:59.882Z
hedera-hashgraph,HBAR,Hedera,30,0.173523,7377114482,310886403,2025-11-12T23:45:59.753Z
sui,SUI,Sui,31,1.96,7234429284,711624008,2025-11-12T23:46:00.288Z
avalanche-2,AVAX,Avalanche,32,16.83,7190068087,429916982,2025-11-12T23:45:59.888Z
monero,XMR,Monero,33,387.01,7135508392,177385852,2025-11-12T23:45:59.719Z
shiba-inu,SHIB,Shiba Inu,34,9.49e-06,5596419581,159560436,2025-11-12T23:46:00.948Z
the-open-network,TON,Toncoin,35,2.0,4986938003,129041761,2025-11-12T23:46:00.130Z
polkadot,DOT,Polkadot,36,2.92,4775008906,279410353,2025-11-12T23:46:04.605Z
uniswap,UNI,Uniswap,37,7.57,4769124407,1113726983,2025-11-12T23:46:03.256Z
canton-network,CC,Canton,38,0.131805,4628924778,54937239,2025-11-12T23:45:59.720Z
dai,DAI,Dai,39,1.0,4554853421,111835609,2025-11-12T23:46:00.112Z
ethena-staked-usde,SUSDE,Ethena Staked USDe,40,1.2,4552946115,68585574,2025-11-12T23:45:59.883Z
crypto-com-chain,CRO,Cronos,41,0.124724,4504425928,20562949,2025-11-12T23:45:59.732Z
memecore,M,MemeCore,42,2.47,4199860945,11281205,2025-11-12T23:45:59.811Z
mantle,MNT,Mantle,43,1.26,4107398093,102987079,2025-11-12T23:45:59.768Z
world-liberty-financial,WLFI,World Liberty Financial,44,0.14587,3979364457,252882119,2025-11-12T23:46:00.467Z
usdt0,USDT0,USDT0,45,0.999876,3879833135,224629092,2025-11-12T23:46:00.424Z
susds,SUSDS,sUSDS,46,1.08,3790922635,88050399,2025-11-12T23:45:59.914Z
internet-computer,ICP,Internet Computer,47,6.35,3428936275,519986172,2025-11-12T23:45:59.970Z
bittensor,TAO,Bittensor,48,350.19,3360549000,237531588,2025-11-12T23:46:00.262Z
paypal-usd,PYUSD,PayPal USD,49,1.0,3316918172,182150571,2025-11-12T23:46:00.451Z
near,NEAR,NEAR Protocol,50,2.52,3232616109,364662088,2025-11-12T23:46:00.008Z
